"Gene"	"chromosome"	"start"	"end"	"gene_biotype"	"RealData"	"nRealBetter"
"FAM24B"	"chr10"	124608594	124639157	"protein_coding"	0	88
"TRIM59"	"chr3"	160150233	160203561	"protein_coding"	0	68
"COPS5P1"	"chr6"	93801694	93802478	"pseudogene"	0	97
"YBX1P4"	"chr7"	151825964	151826771	"pseudogene"	0	98
"BTF3L4P2"	"chr2"	159860287	159861065	"pseudogene"	0	100
"MLLT11"	"chr1"	151030234	151040970	"protein_coding"	0	100
"ENSG00000213194"	"chr2"	158067359	158068051	"pseudogene"	0	100
"ENSG00000213197"	"chr2"	153246451	153247144	"pseudogene"	0	100
"ASIC3"	"chr7"	150745379	150749843	"protein_coding"	0	97
"FABP5P10"	"chr2"	152042702	152043109	"pseudogene"	0	100
"C6orf165"	"chr6"	88117730	88221352	"protein_coding"	0	22
"STRADBP1"	"chr7"	150209647	150210927	"pseudogene"	0	97
"ENSG00000213209"	"chr7"	148334271	148334679	"pseudogene"	0	100
"CCDC183"	"chr9"	139690802	139702193	"protein_coding"	0	96
"ARHGEF35"	"chr7"	143883176	143991230	"protein_coding"	0	40
"ENSG00000213216"	"chr9"	125791652	125792032	"pseudogene"	0	100
"CSH2"	"chr17"	61949372	61951126	"protein_coding"	0	100
"DNLZ"	"chr9"	139253932	139258241	"protein_coding"	0	97
"ENSG00000213222"	"chr2"	132480826	132481852	"pseudogene"	0	100
"ENSG00000213225"	"chr2"	130986949	130989679	"pseudogene"	0	100
"ENSG00000213226"	"chr1"	146790828	146791942	"pseudogene"	0	100
"RPL12P38"	"chr17"	58511039	58513357	"pseudogene"	0	99
"TCL1B"	"chr14"	96152754	96158980	"protein_coding"	0	99
"PPP1R2P10"	"chr13"	64385147	64385741	"pseudogene"	0	99
"ST13P10"	"chr11"	112138013	112139094	"pseudogene"	0	100
"EEF1A1P16"	"chr12"	17143604	17145017	"pseudogene"	0	97
"YWHAZP2"	"chr2"	127315012	127315739	"pseudogene"	0	100
"ENSG00000213237"	"chr7"	138088940	138089268	"pseudogene"	0	100
"NPM1P32"	"chr2"	122466088	122466691	"pseudogene"	0	100
"HIST2H3DP1"	"chr1"	120904675	120905090	"pseudogene"	0	100
"SUPT4H1"	"chr17"	56422539	56430454	"protein_coding"	0	85
"RBMS2P1"	"chr12"	94817520	94818745	"pseudogene"	0	98
"ENSG00000213252"	"chr11"	106697118	106698616	"pseudogene"	0	99
"ENSG00000213253"	"chr19"	13268773	13269602	"pseudogene"	0	100
"YWHAZP5"	"chr10"	107446080	107446809	"pseudogene"	0	100
"ENSG00000213261"	"chr7"	131346711	131347383	"pseudogene"	0	100
"ENSG00000213262"	"chr1"	118183434	118184261	"pseudogene"	0	99
"NIP7P2"	"chr3"	132120097	132120640	"pseudogene"	0	100
"TSGA13"	"chr7"	130353488	130372268	"protein_coding"	0	90
"ENSG00000213269"	"chrX"	73595960	73596720	"pseudogene"	0	99
"RPL6P25"	"chr12"	83545110	83545969	"pseudogene"	0	98
"ENSG00000213272"	"chr12"	76993451	76994250	"pseudogene"	0	98
"IFITM9P"	"chr11"	69070879	69071274	"pseudogene"	0	100
"MARCKSL1P1"	"chr10"	104935311	104935851	"pseudogene"	0	100
"ENSG00000213279"	"chr22"	49965912	49969074	"sense_intronic"	0	98
"ENSG00000213280"	"chr7"	128210295	128210742	"pseudogene"	0	100
"NRAS"	"chr1"	115247090	115259515	"protein_coding"	0	81
"ENSG00000213285"	"chr5"	180898964	180899431	"pseudogene"	0	100
"ENSG00000213287"	"chr11"	86969893	86970301	"pseudogene"	0	99
"PGK1P2"	"chr19"	12670385	12671919	"pseudogene"	0	99
"ENSG00000213291"	"chr7"	124940558	124940932	"pseudogene"	0	100
"ENSG00000213293"	"chr19"	12370941	12371352	"pseudogene"	0	100
"ENSG00000213295"	"chr2"	106863825	106864197	"pseudogene"	0	100
"ENSG00000213296"	"chr7"	124120578	124121449	"pseudogene"	0	100
"HNRNPA3P6"	"chr3"	75263782	75264787	"pseudogene"	0	100
"ENSG00000213302"	"chr7"	121874585	121874957	"pseudogene"	0	100
"ENSG00000213303"	"chr19"	11634251	11634646	"pseudogene"	0	100
"ENSG00000213304"	"chr19"	11632783	11633313	"pseudogene"	0	100
"HNRNPCP6"	"chr11"	84731829	84732699	"pseudogene"	0	99
"RPL18P11"	"chr15"	78953389	78953918	"pseudogene"	0	100
"RPL9P18"	"chr6"	64325732	64326266	"pseudogene"	0	99
"CYCSP19"	"chr7"	121038506	121038821	"pseudogene"	0	99
"RPL7AP34"	"chr6"	64258613	64259413	"pseudogene"	0	98
"ENSG00000213315"	"chr14"	91232875	91233333	"pseudogene"	0	100
"LTC4S"	"chr5"	179220981	179223648	"protein_coding"	0	99
"ENSG00000213318"	"chr16"	75226363	75227145	"pseudogene"	0	99
"RPS7P11"	"chr17"	44798948	44799533	"pseudogene"	0	99
"ENSG00000213328"	"chr5"	178336711	178337610	"pseudogene"	0	99
"ENSG00000213331"	"chr4"	188891427	188892438	"pseudogene"	0	100
"SLC25A5P6"	"chr4"	187249870	187250755	"pseudogene"	0	99
"NPM1P50"	"chr11"	74790310	74791176	"pseudogene"	0	94
"CLNS1AP1"	"chr6"	54349967	54350648	"pseudogene"	0	100
"ANKRD39"	"chr2"	97502348	97523832	"protein_coding"	0	100
"ATF4P1"	"chrX"	153850679	153851751	"pseudogene"	0	100
"ENSG00000213343"	"chr12"	66431015	66431494	"pseudogene"	0	98
"PCNPP3"	"chr12"	66039772	66040242	"pseudogene"	0	100
"MXD3"	"chr5"	176728462	176739758	"protein_coding"	0	91
"GAPDHP44"	"chr12"	63149007	63150013	"pseudogene"	0	100
"ENSG00000213358"	"chr3"	196254210	196255662	"pseudogene"	0	98
"ENSG00000213361"	"chr7"	104885099	104885417	"pseudogene"	0	100
"FTH1P12"	"chr9"	15527131	15527681	"pseudogene"	0	99
"RPS3P6"	"chr12"	62415351	62415955	"pseudogene"	0	100
"ENSG00000213365"	"chr11"	71991195	71992222	"pseudogene"	0	99
"GSTM2"	"chr1"	110210644	110252171	"protein_coding"	0	46
"ST13P11"	"chr11"	94646212	94646931	"pseudogene"	0	99
"RANP6"	"chr4"	174554879	174555522	"pseudogene"	0	99
"NAP1L1P3"	"chr3"	120524713	120525592	"pseudogene"	0	100
"LINC00671"	"chr17"	41026687	41050751	"lincRNA"	0	68
"ENSG00000213375"	"chr2"	87596356	87596632	"pseudogene"	0	100
"GAPDHP71"	"chr5"	173940308	173941310	"pseudogene"	0	100
"COG8"	"chr16"	69354043	69373570	"protein_coding"	0	78
"ENSG00000213383"	"chr3"	17913221	17914090	"pseudogene"	0	100
"EIF4E2P1"	"chr20"	20640354	20640608	"pseudogene"	0	99
"ENSG00000213385"	"chr7"	102395593	102396386	"pseudogene"	0	99
"ENSG00000213386"	"chr5"	172189524	172190261	"pseudogene"	0	99
"ARHGAP19"	"chr10"	98978996	99052413	"protein_coding"	0	59
"ENSG00000213391"	"chrX"	152871972	152872343	"pseudogene"	0	99
"ENSG00000213393"	"chr5"	170772347	170772634	"pseudogene"	0	100
"ENSG00000213394"	"chr7"	100846895	100847776	"pseudogene"	0	100
"HAUS7"	"chrX"	152713124	152760978	"protein_coding"	0	79
"LCAT"	"chr16"	67973653	67978034	"protein_coding"	0	96
"ENSG00000213399"	"chr2"	85142910	85143789	"pseudogene"	0	100
"RPL12P18"	"chr2"	85101820	85102144	"pseudogene"	0	100
"PTPRCAP"	"chr11"	67202981	67205538	"protein_coding"	0	96
"CISD1P1"	"chr2"	20026010	20026336	"pseudogene"	0	99
"ANXA2P1"	"chr4"	154228944	154229869	"pseudogene"	0	100
"ENSG00000213409"	"chr11"	66529046	66529870	"pseudogene"	0	100
"ENSG00000213410"	"chr2"	145208235	145208545	"pseudogene"	0	100
"RBM22P2"	"chr13"	31113734	31117598	"pseudogene"	0	99
"HNRNPA1P33"	"chr10"	47133338	47133898	"pseudogene"	0	100
"PVRIG"	"chr7"	99815864	99819113	"protein_coding"	0	98
"ENSG00000213414"	"chr5"	157413154	157414714	"pseudogene"	0	98
"KRTAP4-12"	"chr17"	39279343	39280419	"protein_coding"	0	96
"GPC2"	"chr7"	99767229	99774995	"protein_coding"	0	98
"RBMX2P2"	"chrX"	140355255	140358349	"pseudogene"	0	96
"KRT222"	"chr17"	38810917	38821433	"protein_coding"	0	72
"HSPD1P1"	"chr5"	21882694	21884421	"pseudogene"	0	100
"ENSG00000213431"	"chr3"	100629819	100631019	"pseudogene"	0	98
"ENSG00000213432"	"chr10"	95043761	95044315	"pseudogene"	0	100
"ENSG00000213433"	"chr5"	151145420	151145939	"pseudogene"	0	100
"VTI1BP2"	"chr4"	184404643	184405338	"pseudogene"	0	99
"ATP6V0CP3"	"chr6"	42694972	42695438	"pseudogene"	0	100
"H2AFZP1"	"chr21"	45466228	45466922	"pseudogene"	0	100
"RPL18AP3"	"chr12"	104659056	104659669	"pseudogene"	0	99
"ENSG00000213443"	"chr12"	9847980	9848823	"pseudogene"	0	98
"RPS23P2"	"chr4"	138369241	138369655	"pseudogene"	0	100
"VDAC1P7"	"chr3"	77365903	77366749	"pseudogene"	0	99
"AKR1B1P2"	"chr3"	74185110	74186043	"pseudogene"	0	100
"FTH1P3"	"chr2"	27615651	27616234	"pseudogene"	0	99
"SYNJ2BP"	"chr14"	70838148	70883778	"protein_coding"	0	81
"ARL2"	"chr11"	64781585	64789656	"protein_coding"	0	92
"HMGB1P37"	"chr9"	124282095	124282703	"pseudogene"	0	100
"ENSG00000213468"	"chrX"	130836678	130964671	"lincRNA"	0	58
"TTLL13"	"chr15"	90792762	90808199	"protein_coding"	0	100
"CFL1P2"	"chr1"	51623460	51624143	"pseudogene"	0	99
"ENSG00000213480"	"chr4"	122290588	122291500	"pseudogene"	0	100
"EIF4A1P8"	"chr10"	93896632	93898127	"pseudogene"	0	100
"ENSG00000213486"	"chr2"	61937211	61938113	"pseudogene"	0	99
"NT5C3AP1"	"chr4"	118495667	118497329	"pseudogene"	0	100
"ACTN4P1"	"chr4"	117519317	117520767	"pseudogene"	0	100
"CCL14"	"chr17"	34310327	34329100	"protein_coding"	0	64
"LAP3P2"	"chr6"	36641594	36643047	"pseudogene"	0	99
"PPIAP16"	"chr3"	57927545	57928031	"pseudogene"	0	99
"ENSG00000213513"	"chr10"	79540095	79541634	"pseudogene"	0	99
"ENSG00000213514"	"chr10"	79490524	79494527	"pseudogene"	0	100
"RBMXL1"	"chr1"	89445139	89458643	"protein_coding"	0	81
"ENSG00000213519"	"chr3"	197307215	197307500	"pseudogene"	0	100
"RAC1P5"	"chr4"	108124506	108125081	"pseudogene"	0	99
"ENSG00000213525"	"chr10"	76504144	76504465	"pseudogene"	0	100
"SETP8"	"chrX"	116097017	116097644	"pseudogene"	0	99
"ENSG00000213529"	"chr9"	115124994	115125396	"pseudogene"	0	100
"MTHFD2P5"	"chr7"	82219164	82220007	"pseudogene"	0	99
"TMEM110"	"chr3"	52870235	52931612	"protein_coding"	0	66
"KRT8P41"	"chr11"	9115910	9117737	"pseudogene"	0	95
"YBX1P6"	"chr9"	112295110	112296612	"pseudogene"	0	100
"ENSG00000213540"	"chr1"	84551424	84551916	"pseudogene"	0	100
"ENSG00000213542"	"chr7"	76744716	76745509	"pseudogene"	0	100
"RARRES2P2"	"chr10"	135450912	135451396	"pseudogene"	0	100
"ENSG00000213549"	"chr7"	75742344	75742718	"pseudogene"	0	100
"RPLP0P6"	"chr2"	38708920	38710012	"pseudogene"	0	100
"ENSG00000213556"	"chr9"	111598613	111598877	"pseudogene"	0	100
"ENSG00000213557"	"chr9"	110802494	110802873	"pseudogene"	0	100
"HMGN2P32"	"chr9"	110220319	110220587	"pseudogene"	0	100
"ENSG00000213560"	"chr1"	78557183	78557738	"pseudogene"	0	100
"ENSG00000213561"	"chr1"	78509067	78509832	"pseudogene"	0	100
"C8orf82"	"chr8"	145751117	145754516	"protein_coding"	0	98
"ENSG00000213569"	"chrX"	106374889	106375499	"pseudogene"	0	100
"LDHAP5"	"chr10"	120692186	120692807	"pseudogene"	0	100
"ENSG00000213579"	"chr1"	76047784	76048240	"pseudogene"	0	99
"VDAC1"	"chr5"	133307606	133340824	"protein_coding"	0	77
"ENSG00000213587"	"chr3"	50756913	50757382	"pseudogene"	0	98
"ZBTB9"	"chr6"	33422356	33425325	"protein_coding"	0	98
"ENSG00000213592"	"chr11"	57485516	57486002	"pseudogene"	0	99
"TMX2"	"chr11"	57480072	57508445	"protein_coding"	0	71
"GAPDHP25"	"chr2"	38512552	38513552	"pseudogene"	0	100
"ENSG00000213598"	"chr14"	59261372	59261747	"pseudogene"	0	100
"ENSG00000213600"	"chr3"	50277054	50277416	"pseudogene"	0	100
"KRT18P19"	"chr2"	190175989	190176693	"pseudogene"	0	100
"ENSG00000213604"	"chr11"	55972601	55973101	"pseudogene"	0	98
"AKR1B10P1"	"chr10"	69510042	69510983	"pseudogene"	0	100
"SLC25A14P1"	"chr4"	84398677	84399577	"pseudogene"	0	100
"ENSG00000213609"	"chr10"	65662211	65663005	"pseudogene"	0	99
"FAM220CP"	"chr9"	99883941	99884771	"pseudogene"	0	100
"ENSG00000213613"	"chr10"	89705259	89705781	"pseudogene"	0	100
"HEXA"	"chr15"	72635775	72668817	"protein_coding"	0	79
"NDUFS3"	"chr11"	47586888	47606114	"protein_coding"	0	72
"RPSAP54"	"chr13"	21535449	21536334	"pseudogene"	0	100
"LEPROT"	"chr1"	65886270	65901690	"protein_coding"	0	78
"LBH"	"chr2"	30454397	30546596	"protein_coding"	0	46
"ENSG00000213630"	"chr5"	125999029	125999260	"pseudogene"	0	100
"ENSG00000213640"	"chr7"	64323377	64324748	"pseudogene"	0	99
"RPL7AP4"	"chr14"	56010119	56010887	"pseudogene"	0	99
"ENSG00000213642"	"chr7"	64029806	64030815	"pseudogene"	0	100
"ENSG00000213644"	"chr7"	63642088	63643271	"pseudogene"	0	99
"SLC25A1P3"	"chr7"	63391519	63392346	"pseudogene"	0	100
"SULT1A4"	"chr16"	29467127	29476300	"protein_coding"	0	83
"ENSG00000213650"	"chr7"	56635599	56636551	"pseudogene"	0	100
"RPL22P22"	"chrX"	81761883	81762261	"pseudogene"	0	100
"GPSM3"	"chr6"	32158543	32163300	"protein_coding"	0	93
"LAT"	"chr16"	28996147	29002104	"protein_coding"	0	88
"ENSG00000213661"	"chr5"	120951942	120952502	"pseudogene"	0	99
"ENSG00000213663"	"chr5"	118882826	118883301	"pseudogene"	0	100
"PGGT1BP1"	"chr10"	52486707	52487729	"pseudogene"	0	100
"ENSG00000213669"	"chr9"	95439225	95439689	"pseudogene"	0	100
"OLA1P2"	"chr17"	20678955	20680218	"pseudogene"	0	96
"NCKIPSD"	"chr3"	48701364	48723797	"protein_coding"	0	82
"SLC25A5P3"	"chr7"	54487137	54488021	"pseudogene"	0	99
"ATF6B"	"chr6"	32065953	32096030	"protein_coding"	0	71
"ENSG00000213683"	"chr22"	51193096	51193862	"pseudogene"	0	100
"LDHBP2"	"chrX"	75555240	75556244	"pseudogene"	0	100
"DUSP8P1"	"chr10"	48963181	48964127	"pseudogene"	0	100
"TREX1"	"chr3"	48506445	48509044	"protein_coding"	0	98
"SEC14L1P1"	"chr11"	43919006	43921186	"pseudogene"	0	97
"S1PR3"	"chr9"	91606362	91619925	"protein_coding"	0	91
"RPS7P14"	"chrX"	73629353	73629935	"pseudogene"	0	100
"ENSG00000213698"	"chrX"	71947802	71948646	"pseudogene"	0	99
"SLC35F6"	"chr2"	26987152	27004099	"protein_coding"	0	89
"RPL17P50"	"chr10"	74765591	74766353	"pseudogene"	0	100
"SETP22"	"chr5"	96392106	96393062	"pseudogene"	0	100
"ENSG00000213703"	"chr1"	63106793	63107338	"pseudogene"	0	100
"ENSG00000213706"	"chrX"	70572268	70572838	"pseudogene"	0	100
"HMGB1P10"	"chr22"	26956492	26957054	"pseudogene"	0	100
"PHBP7"	"chr9"	88513818	88514631	"pseudogene"	0	100
"PIGCP1"	"chr11"	33097112	33098006	"pseudogene"	0	100
"FAM209B"	"chr20"	55108302	55111576	"protein_coding"	0	100
"FABP5P5"	"chr5"	95308745	95309150	"pseudogene"	0	100
"DDAH2"	"chr6"	31694815	31698394	"protein_coding"	0	96
"ENSG00000213727"	"chr22"	16404698	16405874	"pseudogene"	0	100
"POLD2P1"	"chr5"	92603135	92604131	"pseudogene"	0	99
"RAB5CP1"	"chr10"	76183193	76183772	"pseudogene"	0	100
"ANAPC10P1"	"chr1"	52719293	52719848	"pseudogene"	0	99
"SERBP1P1"	"chrX"	68003315	68004909	"pseudogene"	0	100
"RPS29"	"chr14"	50043390	50065408	"protein_coding"	0	93
"ZNF337-AS1"	"chr20"	25604681	25658710	"antisense"	0	89
"RPS10P14"	"chr7"	37415125	37415626	"pseudogene"	0	99
"ENSG00000213747"	"chrX"	70077013	70077352	"pseudogene"	0	100
"ENSG00000213750"	"chr8"	98636431	98637307	"pseudogene"	0	99
"CENPBD1P1"	"chr19"	59084870	59111168	"pseudogene"	0	60
"ENSG00000213754"	"chrX"	63524927	63526613	"pseudogene"	0	98
"ENSG00000213755"	"chr5"	78806257	78806742	"pseudogene"	0	100
"ENSG00000213757"	"chr5"	78579955	78580741	"pseudogene"	0	100
"UGT2B11"	"chr4"	70065669	70080449	"protein_coding"	0	92
"ATP6V1G2"	"chr6"	31512239	31516204	"protein_coding"	0	96
"MT1P1"	"chr9"	98175549	98175731	"pseudogene"	0	100
"ZNF134"	"chr19"	58125601	58134724	"protein_coding"	0	91
"ACTBP2"	"chr5"	77080705	77081827	"pseudogene"	0	98
"FAM210CP"	"chr10"	27638646	27639219	"pseudogene"	0	100
"ENSG00000213772"	"chr2"	9411421	9411757	"pseudogene"	0	100
"ENSG00000213774"	"chr2"	7464879	7465193	"pseudogene"	0	100
"ENSG00000213777"	"chr19"	54006646	54015941	"pseudogene"	0	87
"ENSG00000213779"	"chr11"	17215036	17215855	"pseudogene"	0	100
"GTF2H4"	"chr6"	30875961	30881883	"protein_coding"	0	91
"PSMC1P2"	"chr7"	27501385	27502588	"pseudogene"	0	99
"DDX47"	"chr12"	12966250	12982915	"protein_coding"	0	76
"ENSG00000213785"	"chr11"	16505631	16506218	"pseudogene"	0	100
"NHP2P2"	"chr7"	27087788	27088247	"pseudogene"	0	97
"OLA1P1"	"chr22"	42503769	42504957	"pseudogene"	0	98
"ENSG00000213791"	"chr8"	81213104	81213716	"pseudogene"	0	100
"ZNF888"	"chr19"	53418449	53426723	"lincRNA"	0	86
"ZNF845"	"chr19"	53837002	53858122	"protein_coding"	0	69
"KLRK1"	"chr12"	10524952	10544473	"protein_coding"	0	78
"CNN2P4"	"chr9"	43997830	43998733	"pseudogene"	0	100
"RPL13P2"	"chr20"	44728157	44728815	"pseudogene"	0	100
"ENSG00000213828"	"chr2"	240083493	240084053	"protein_coding"	0	100
"CFL1P5"	"chr5"	68609198	68609699	"pseudogene"	0	99
"ENSG00000213839"	"chr9"	37885680	37886387	"pseudogene"	0	100
"SUGT1P2"	"chr3"	32794402	32795393	"pseudogene"	0	99
"ENSG00000213846"	"chr3"	27674467	27675211	"pseudogene"	0	99
"ENSG00000213849"	"chr3"	32549447	32549817	"pseudogene"	0	100
"EMP2"	"chr16"	10622279	10674555	"protein_coding"	0	48
"CNN2P6"	"chr3"	31223243	31224142	"pseudogene"	0	99
"VDAC1P2"	"chrX"	49397103	49397952	"pseudogene"	0	100
"ENSG00000213857"	"chr22"	41470184	41471243	"pseudogene"	0	100
"KCTD11"	"chr17"	7255208	7258258	"protein_coding"	0	96
"RPL21P75"	"chr7"	20042346	20042909	"pseudogene"	0	100
"ENSG00000213862"	"chr15"	48022341	48023132	"pseudogene"	0	99
"ENSG00000213863"	"chr6"	171034285	171037576	"lincRNA"	0	93
"EEF1B2P2"	"chr5"	67455046	67455721	"pseudogene"	0	100
"C8orf44"	"chr8"	67579850	67597799	"protein_coding"	0	93
"YBX1P10"	"chr9"	35971341	35972315	"pseudogene"	0	100
"ENSG00000213867"	"chr14"	31290625	31291049	"pseudogene"	0	100
"TAF9BP1"	"chr3"	25796416	25797161	"pseudogene"	0	100
"ENSG00000213872"	"chr3"	25790979	25791387	"pseudogene"	0	100
"RPL7AP64"	"chr17"	7044249	7044911	"pseudogene"	0	100
"NPM1P6"	"chr8"	62114909	62115779	"pseudogene"	0	100
"RPL13AP7"	"chr21"	26734135	26734745	"pseudogene"	0	100
"UBD"	"chr6"	29523292	29527702	"protein_coding"	0	95
"ENSG00000213888"	"chr22"	31742875	31744670	"protein_coding"	0	100
"PPM1N"	"chr19"	45992035	46005768	"protein_coding"	0	84
"RPL3P6"	"chr5"	60686495	60687698	"pseudogene"	0	99
"SLC23A3"	"chr2"	219940051	220035549	"protein_coding"	0	100
"LTB4R"	"chr14"	24780656	24787242	"protein_coding"	0	96
"LTB4R2"	"chr14"	24774940	24781259	"protein_coding"	0	95
"RPL5P8"	"chr2"	215145362	215146176	"pseudogene"	0	100
"MDP1"	"chr14"	24683143	24685276	"protein_coding"	0	100
"LEUTX"	"chr19"	40267235	40276775	"protein_coding"	0	88
"ENSG00000213922"	"chr19"	39930212	39932082	"protein_coding"	0	94
"NPM1P33"	"chr2"	204637354	204638225	"pseudogene"	0	100
"MSRB1P1"	"chr19"	39745556	39745909	"pseudogene"	0	100
"GALT"	"chr9"	34638130	34651032	"protein_coding"	0	94
"HBE1"	"chr11"	5289582	5526847	"protein_coding"	0	3
"HBG1"	"chr11"	5269313	5271122	"protein_coding"	0	98
"ENSG00000213935"	"chr7"	4905063	4905435	"pseudogene"	0	100
"SEPHS1P6"	"chr2"	200524274	200525452	"pseudogene"	0	100
"ENSG00000213939"	"chr17"	4608111	4608512	"pseudogene"	0	100
"ENSG00000213942"	"chr12"	6518803	6519179	"pseudogene"	0	100
"KRT18P17"	"chr3"	12828892	12830170	"pseudogene"	0	98
"DNAJB1P1"	"chr2"	192745908	192746931	"pseudogene"	0	100
"RPS10P2"	"chr20"	14738209	14738702	"pseudogene"	0	100
"ENSG00000213953"	"chr2"	187361840	187365393	"protein_coding"	0	100
"ENSG00000213956"	"chr5"	49928958	49929436	"pseudogene"	0	99
"KRT18P29"	"chr2"	182825939	182827205	"pseudogene"	0	100
"ENSG00000213959"	"chr20"	37243556	37244119	"pseudogene"	0	100
"API5P2"	"chr2"	178862000	178863497	"pseudogene"	0	100
"ENSG00000213963"	"chr2"	178148236	178257419	"sense_overlapping"	0	100
"CHCHD4P4"	"chr3"	11275942	11276268	"pseudogene"	0	99
"NUDT19"	"chr19"	33182867	33204702	"protein_coding"	0	69
"ZNF726"	"chr19"	24097678	24127961	"protein_coding"	0	59
"ENSG00000213970"	"chr12"	4433538	4433977	"pseudogene"	0	98
"ENSG00000213971"	"chr19"	23442708	23457053	"processed_transcript"	0	74
"ZNF99"	"chr19"	22939007	22966909	"protein_coding"	0	60
"ENSG00000213976"	"chr19"	21565667	21569979	"pseudogene"	0	91
"TAX1BP3"	"chr17"	3566196	3571976	"protein_coding"	0	84
"RPL7AP14"	"chr20"	36073135	36073936	"pseudogene"	0	100
"AP1G2"	"chr14"	24028774	24037279	"protein_coding"	0	95
"ENSG00000213985"	"chr19"	20368529	20370227	"pseudogene"	0	98
"PGAM1P7"	"chrX"	46506029	46506765	"pseudogene"	0	100
"MEF2B"	"chr19"	19256377	19303400	"protein_coding"	0	34
"ATP5F1P3"	"chr7"	152446164	152446820	"pseudogene"	0	99
"ENSG00000214006"	"chr9"	32556904	32557921	"pseudogene"	0	99
"PCNAP3"	"chrX"	45918186	45918963	"pseudogene"	0	99
"KRT18P38"	"chr6"	19612986	19614267	"pseudogene"	0	98
"GANC"	"chr15"	42565431	42645864	"protein_coding"	0	60
"ENSG00000214015"	"chr10"	6113477	6113881	"pseudogene"	0	99
"ENSG00000214016"	"chrX"	44600333	44601210	"pseudogene"	0	100
"RRM2P3"	"chrX"	44168560	44169722	"pseudogene"	0	99
"ENSG00000214019"	"chrX"	43888578	43890167	"pseudogene"	0	100
"TTLL3"	"chr3"	9849770	9896822	"protein_coding"	0	73
"REPIN1"	"chr7"	150065278	150071133	"protein_coding"	0	94
"MRPL23"	"chr11"	1968508	2005752	"protein_coding"	0	67
"ARPC3P5"	"chr6"	15935013	15935546	"pseudogene"	0	99
"ZNF891"	"chr12"	133694740	133707059	"protein_coding"	0	100
"ENSG00000214035"	"chr7"	144707054	144708086	"pseudogene"	0	98
"PGAM1P4"	"chr3"	9390071	9390952	"pseudogene"	0	99
"ENSG00000214045"	"chrX"	40218436	40219979	"pseudogene"	0	99
"RPS11P7"	"chrX"	39724678	39725142	"pseudogene"	0	100
"UCA1"	"chr19"	15939771	15947130	"processed_transcript"	0	88
"FBXO16"	"chr8"	28205804	28347835	"protein_coding"	0	57
"RPL7P17"	"chr4"	78003556	78004279	"pseudogene"	0	97
"TSPAN4"	"chr11"	842808	867116	"protein_coding"	0	61
"ENSG00000214067"	"chr10"	112016822	112017601	"pseudogene"	0	100
"ENSG00000214070"	"chr2"	136655525	136656548	"pseudogene"	0	100
"CPSF1P1"	"chr22"	32665368	32669097	"pseudogene"	0	100
"GNAQP1"	"chr2"	132181374	132182440	"pseudogene"	0	100
"ARL16"	"chr17"	79648204	79650954	"protein_coding"	0	100
"ENSG00000214089"	"chr10"	44910097	44910601	"pseudogene"	0	99
"ENSG00000214093"	"chr22"	31955469	31955925	"pseudogene"	0	100
"SMCO1"	"chr3"	196233748	196242237	"protein_coding"	0	99
"WEE2"	"chr7"	141408153	141431071	"protein_coding"	0	86
"ENSG00000214105"	"chr17"	77681075	77686081	"lincRNA"	0	87
"PAXIP1-AS2"	"chr7"	154720208	154741618	"protein_coding"	0	85
"TPT1P5"	"chr5"	31908467	31909292	"pseudogene"	0	98
"ENSG00000214109"	"chr19"	13890884	13900972	"protein_coding"	0	86
"LDHAP4"	"chr9"	14921335	14922332	"pseudogene"	0	99
"ENSG00000214111"	"chrX"	25047662	25048352	"pseudogene"	0	100
"TDPX2"	"chr9"	12972842	12973437	"pseudogene"	0	100
"SNRPEP9"	"chrX"	24531567	24531804	"pseudogene"	0	100
"ENSG00000214125"	"chr22"	31551952	31552633	"pseudogene"	0	100
"TMEM213"	"chr7"	138482695	138522846	"protein_coding"	0	68
"ENSG00000214132"	"chr5"	20304154	20305557	"pseudogene"	0	99
"ENSG00000214135"	"chr3"	197305084	197354777	"pseudogene"	0	64
"PRCD"	"chr17"	74523668	74549660	"protein_coding"	0	64
"RPL7P60"	"chr7"	99737252	99738305	"pseudogene"	0	98
"ENSG00000214144"	"chr1"	247393242	247395182	"pseudogene"	0	100
"LINC00887"	"chr3"	194014254	194030592	"lincRNA"	0	88
"ENSG00000214147"	"chr3"	190548754	190549962	"pseudogene"	0	99
"ALG3"	"chr3"	183960089	183967336	"protein_coding"	0	96
"ENSG00000214164"	"chr2"	91723049	91723916	"pseudogene"	0	100
"AMZ2P1"	"chr17"	62962668	62971694	"pseudogene"	0	88
"PLEKHM1P"	"chr17"	62775377	62833272	"pseudogene"	0	37
"DDX6P2"	"chr13"	86927755	86929524	"pseudogene"	0	99
"PTMAP5"	"chr13"	82264046	82265207	"pseudogene"	0	100
"ENSG00000214184"	"chr2"	109123971	109150652	"antisense"	0	100
"XPOTP1"	"chr20"	32801301	32803698	"pseudogene"	0	99
"ST7-OT4"	"chr7"	116593953	116738860	"protein_coding"	0	20
"ENSG00000214190"	"chr9"	5418373	5418976	"pseudogene"	0	99
"UBE2V1P2"	"chr3"	175436019	175436458	"pseudogene"	0	100
"SH3D21"	"chr1"	36771988	36790484	"protein_coding"	0	70
"LINC00998"	"chr7"	112756773	112758668	"protein_coding"	0	99
"HMGN2P31"	"chr9"	5311444	5311716	"pseudogene"	0	100
